Country_Region,"Last_ Update","Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"29/04/2020 8:30 AM",15357,15432
Belgium,"29/04/2020 8:30 AM",47334,47593
Brazil,"29/04/2020 8:30 AM",72899,77681
Canada,"29/04/2020 8:30 AM",50026,51017
China,"29/04/2020 8:30 AM",82836,82837
Ecuador,"29/04/2020 8:30 AM",24258,25565
France,"29/04/2020 8:30 AM",165911,168272
Germany,"29/04/2020 8:30 AM",159912,159969
India,"29/04/2020 8:30 AM",31324,33110
Iran,"29/04/2020 8:30 AM",92584,93995
Italy,"29/04/2020 8:30 AM",201505,202650
Japan,"29/04/2020 8:30 AM",13736,14198
Netherlands,"29/04/2020 8:30 AM",38416,38742
Peru,"29/04/2020 8:30 AM",31190,35280
Portugal,"29/04/2020 8:30 AM",24322,24437
Russia,"29/04/2020 8:30 AM",93558,98750
"South Korea","29/04/2020 8:30 AM",10752,10762
Spain,"29/04/2020 8:30 AM",232128,236388
Switzerland,"29/04/2020 8:30 AM",29264,29433
Turkey,"29/04/2020 8:30 AM",114653,116591
UK,"29/04/2020 8:30 AM",161145,164518
USA,"29/04/2020 8:30 AM",1035765,1058631

