Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Bangladesh,"17/06/2020 8:30 AM",94481,98503
Belarus,"17/06/2020 8:30 AM",55369,56052
Brazil,"17/06/2020 8:30 AM",928834,966907
Canada,"17/06/2020 8:30 AM",99467,99788
Chile,"17/06/2020 8:30 AM",184449,189545
Colombia,"17/06/2020 8:30 AM",54931,56855
Ecuador,"17/06/2020 8:30 AM",47943,48549
Egypt,"17/06/2020 8:30 AM",47856,49466
Germany,"17/06/2020 8:30 AM",188382,188715
India,"17/06/2020 8:30 AM",354161,365527
Indonesia,"17/06/2020 8:30 AM",40400,41544
Iran,"17/06/2020 8:30 AM",192439,195036
Italy,"17/06/2020 8:30 AM",237500,237706
Kuwait,"17/06/2020 8:30 AM",36958,37459
Mexico,"17/06/2020 8:30 AM",150264,153694
Pakistan,"17/06/2020 8:30 AM",148921,153474
Peru,"17/06/2020 8:30 AM",237156,241281
Qatar,"17/06/2020 8:30 AM",82077,83250
Russia,"17/06/2020 8:30 AM",545458,553671
"Saudi Arabia","17/06/2020 8:30 AM",136315,140667
Singapore,"17/06/2020 8:30 AM",40969,41101
"South Africa","17/06/2020 8:30 AM",76334,79188
Spain,"17/06/2020 8:30 AM",291408,291598
Sweden,"17/06/2020 8:30 AM",53323,54288
Turkey,"17/06/2020 8:30 AM",181298,182779
UAE,"17/06/2020 8:30 AM",42982,43314
UK,"17/06/2020 8:30 AM",298136,299373
USA,"17/06/2020 8:30 AM",2208400,2234077
