Country_Region,"Last_ Update","Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"06/05/2020 8:30 AM",15650,15707
Belarus,"06/05/2020 8:30 AM",18350,19595
Belgium,"06/05/2020 8:30 AM",50509,50521
Brazil,"06/05/2020 8:30 AM",114715,121208
Canada,"06/05/2020 8:30 AM",62046,63234
China,"06/05/2020 8:30 AM",82881,82883
Ecuador,"06/05/2020 8:30 AM",31881,33405
France,"06/05/2020 8:30 AM",170551,171528
Germany,"06/05/2020 8:30 AM",167007,167861
India,"06/05/2020 8:30 AM",49400,52568
Iran,"06/05/2020 8:30 AM",99970,101275
Ireland,"06/05/2020 8:30 AM",21983,22535
Italy,"06/05/2020 8:30 AM",213013,214016
Japan,"06/05/2020 8:30 AM",15253,15430
Mexico,"06/05/2020 8:30 AM",24905,25979
Netherlands,"06/05/2020 8:30 AM",41087,41331
Pakistan,"06/05/2020 8:30 AM",22049,22775
Peru,"06/05/2020 8:30 AM",51189,55319
Portugal,"06/05/2020 8:30 AM",25702,25903
Russia,"06/05/2020 8:30 AM",155370,165975
"South Korea","06/05/2020 8:30 AM",10804,10809
Spain,"06/05/2020 8:30 AM",250561,252476
Sweden,"06/05/2020 8:30 AM",23216,23687
Switzerland,"06/05/2020 8:30 AM",30009,30098
Turkey,"06/05/2020 8:30 AM",129491,129491
UK,"06/05/2020 8:30 AM",194990,199176
USA,"06/05/2020 8:30 AM",1237633,1255514
