Country_Region,Last_Update,"Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"18/05/2020 8:30 AM",16242,16293
Belarus,"18/05/2020 8:30 AM",29650,30604
Belgium,"18/05/2020 8:30 AM",55280,55566
Brazil,"18/05/2020 8:30 AM",241080,249644
Canada,"18/05/2020 8:30 AM",77002,78108
Chile,"18/05/2020 8:30 AM",43781,46274
China,"18/05/2020 8:30 AM",82947,82953
Ecuador,"18/05/2020 8:30 AM",33182,33614
France,"18/05/2020 8:30 AM",179569,179729
Germany,"18/05/2020 8:30 AM",176651,177030
India,"18/05/2020 8:30 AM",95698,100981
Iran,"18/05/2020 8:30 AM",120198,122016
Ireland,"18/05/2020 8:30 AM",24112,24152
Italy,"18/05/2020 8:30 AM",225435,226083
Japan,"18/05/2020 8:30 AM",16285,16315
Mexico,"18/05/2020 8:30 AM",47144,49328
Netherlands,"18/05/2020 8:30 AM",43995,44090
Pakistan,"18/05/2020 8:30 AM",40151,41798
Peru,"18/05/2020 8:30 AM",92273,96096
Portugal,"18/05/2020 8:30 AM",29036,29257
Qatar,"18/05/2020 8:30 AM",32604,34297
Russia,"18/05/2020 8:30 AM",281752,290322
"Saudi Arabia","18/05/2020 8:30 AM",54752,57601
Singapore,"18/05/2020 8:30 AM",28038,28659
"South Korea","18/05/2020 8:30 AM",11050,11062
Spain,"18/05/2020 8:30 AM",277719,278859
Sweden,"18/05/2020 8:30 AM",30143,30606
Switzerland,"18/05/2020 8:30 AM",30587,30600
Turkey,"18/05/2020 8:30 AM",149435,150749
UK,"18/05/2020 8:30 AM",243695,247151
USA,"18/05/2020 8:30 AM",1527664,1546436
